Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_151;QLB;B1;76.00;45.53;355.68;1272.64;31.48;29.90;640.00;58.00;384.00;16.34
BRISONr_152;QLB;B1;83.00;33.26;343.28;1474.96;22.70;26.87;576.00;32.00;307.00;13.81
BRISONr_153;QLB;B1;90.00;45.98;336.64;890.24;26.66;23.97;564.00;48.00;160.00;13.91
BRISONr_154;QLB;B1;77.00;54.70;442.00;1351.28;28.32;27.43;596.00;53.00;377.00;14.75
BRISONr_155;QLB;B1;88.00;47.70;403.44;1423.12;32.77;34.90;504.00;54.00;206.00;14.79
BRISONr_156;QLB;B1;90.00;41.95;343.76;1333.44;24.42;25.23;776.00;63.00;431.00;16.29
BRISONr_157;QLB;B1;94.00;47.72;449.92;1575.44;29.01;30.03;592.00;52.00;252.00;16.49
BRISONr_158;QLB;B1;87.00;48.10;313.04;1274.56;26.03;24.87;612.00;40.00;254.00;15.81
BRISONr_159;QLB;B1;85.00;40.09;395.28;1465.60;26.43;29.00;584.00;34.00;314.00;14.53
BRISONr_160;QLB;B1;70.00;15.75;193.92;932.88;31.13;31.80;200.00;55.00;243.00;15.50
BRISONr_161;QLB;B1;92.00;46.64;395.76;1536.40;28.35;28.77;524.00;52.00;298.00;16.69
BRISONr_162;QLB;B1;92.00;53.85;317.76;1182.56;30.90;31.63;492.00;40.00;259.00;14.21
BRISONr_163;QLB;B1;72.00;24.16;248.32;1163.52;30.79;33.70;260.00;42.00;229.00;14.91
BRISONr_164;QLB;B1;81.00;39.37;294.16;1050.32;28.41;30.50;492.00;38.00;328.00;15.99
BRISONr_165;QLB;B1;72.00;41.42;328.08;1240.64;25.48;28.07;656.00;54.00;269.00;16.10
BRISONr_166;QLB;B1;91.00;36.13;306.00;938.96;29.21;31.77;560.00;36.00;317.00;14.65
BRISONr_167;QLB;B1;83.00;32.98;331.20;1491.04;31.65;33.77;436.00;66.00;223.00;18.07
BRISONr_168;QLB;B1;83.00;32.55;288.88;1183.76;28.23;34.03;424.00;40.00;364.00;15.18
BRISONr_169;QLB;B1;81.00;35.54;321.36;1155.44;27.86;30.63;404.00;34.00;262.00;13.67
BRISONr_170;QLB;B1;80.00;31.74;223.76;907.36;17.89;22.97;832.00;59.00;88.00;15.74
BRISONr_171;QLB;B1;117.00;66.77;508.64;1846.08;23.05;25.70;712.00;32.00;66.00;14.24
BRISONr_172;QLB;B1;91.00;16.17;115.28;766.96;26.72;30.57;588.00;46.00;238.00;15.84
BRISONr_173;QLB;B1;84.00;24.67;132.32;925.52;30.04;33.20;504.00;42.00;109.00;16.08
BRISONr_174;QLB;B1;114.00;26.94;226.56;1192.08;29.01;32.50;512.00;36.00;228.00;14.51
BRISONr_175;QLB;B1;84.00;30.32;251.76;1058.64;28.61;31.60;548.00;31.00;436.00;14.19
BRISONr_176;QLB;B1;92.00;42.79;311.36;1126.48;28.06;32.10;624.00;51.00;313.00;15.34
BRISONr_177;QLB;B1;76.00;73.96;698.72;1720.56;28.32;34.07;656.00;43.00;209.00;13.34
BRISONr_178;QLB;B1;61.00;45.22;461.92;1454.16;24.36;30.70;716.00;50.00;291.00;15.83
